NoiseLevel,ClassLabel
59.52231124439142,1.0
65.07275944172414,2.0
67.36235438931088,2.0
63.92520442736106,2.0
46.122945185228524,0.0
44.54917123516594,0.0
45.33600387899312,0.0
67.06168441307659,2.0
62.16560040967181,2.0
72.24824214119569,2.0
41.51505356389023,0.0
60.793927265360146,2.0
69.01181374740018,2.0
47.74240001680131,0.0
47.16201446628985,0.0
47.176652693506945,0.0
54.95757593440078,1.0
61.89181968254652,2.0
55.26259469247369,1.0
52.654243021441445,1.0
68.37791384348513,2.0
44.490578287220515,0.0
52.14039382729937,1.0
53.886686786847456,1.0
56.43043651769737,1.0
63.047200866138944,2.0
42.15174499971912,0.0
65.84415726291755,2.0
65.84858909463249,2.0
43.243897327413805,0.0
63.36827544471582,2.0
45.8038445627932,0.0
39.983688693763426,0.0
60.124402465934295,2.0
62.51123621277305,2.0
64.26059737700844,2.0
56.07701540014659,1.0
50.11078385403847,0.0
67.97102008597255,2.0
54.44595668003093,1.0
44.9341259234905,0.0
51.52713640873514,1.0
44.9358686157075,0.0
64.00005714269328,2.0
56.117929886102104,1.0
62.13438795234847,2.0
56.79906909879901,1.0
70.30956334411671,2.0
64.62324379406797,2.0
46.39157022534271,0.0
67.39072891636408,2.0
63.610131515313945,2.0
65.7762791281797,2.0
65.04362135588667,2.0
65.33835993074337,2.0
62.322215559228994,2.0
45.08490573423771,0.0
46.725116685039204,0.0
50.02690891555963,0.0
58.32301161799629,1.0
62.45884282875206,1.0
52.34183006802749,1.0
68.02180732658209,2.0
55.63511533820082,1.0
62.585699877792734,1.0
62.19997260418814,2.0
42.09111821023512,0.0
62.92364296881567,2.0
37.64260939103423,0.0
63.178731180228894,2.0
62.370287321008014,2.0
45.52097935863891,0.0
46.183877427672634,0.0
71.49924643440211,2.0
68.29236475292572,2.0
63.00154711464099,2.0
61.8878002859187,2.0
46.70405799653291,0.0
50.426578015201294,1.0
51.34435926885426,0.0
69.08570042714888,2.0
63.37472786576078,2.0
49.06552791082804,1.0
49.68995147803679,0.0
54.603222337062775,1.0
59.287921485551124,1.0
59.476740571950124,2.0
62.92370401491261,2.0
65.01816470866305,2.0
